Praznik;Mjesec;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
0;2;0.65;1013.7;347.5;403.25
0;2;0.46;1012.0;353.75;394.25
1;2;0.71;1012.3;180.75;201.25
1;2;0.84;1003.1;170.75;170.75
0;2;0.9;1009.2;384.5;448.25
0;3;0.81;1015.4;372.0;446.5
0;3;0.81;1015.2;385.0;447.25
0;3;0.81;1016.7;373.75;448.0
0;3;0.78;1017.7;352.5;417.75
1;3;0.86;1009.5;183.864468864;187.583941606
1;3;0.81;1006.3;171.306569343;172.396363636
0;3;0.4;1017.3;350.131086142;400.791970803
0;3;0.41;1021.3;360.629482072;422.022813688
0;3;0.5;1010.8;361.856031128;405.642023346
0;3;0.42;1006.2;353.6796875;396.747081712
0;3;0.43;1005.6;340.15234375;400.65234375
1;3;0.49;1006.4;185.431906615;186.75
1;3;0.47;1002.5;182.19921875;182.661478599
0;3;0.55;1003.7;392.840466926;400.515625
0;3;0.55;1004.6;326.5;391.75
0;3;0.78;999.2;354.25;449.25
0;3;0.94;987.8;350.5;427.0
0;3;0.67;998.2;358.25;425.5
1;3;0.91;1006.9;180.25;176.5
1;3;0.55;1013.3;177.75;185.25
0;3;0.61;1017.5;352.5;416.75
0;3;0.58;1020.9;345.0;393.25
0;3;0.38;1018.8;332.75;378.75
0;3;0.46;1018.5;312.0;390.25
0;3;0.37;1006.9;309.0;366.5
1;3;0.59;998.4;211.25;230.0
1;3;0.69;1002.2;183.0;185.5
0;3;0.88;998.2;NaN;NaN
0;3;0.8;1002.2;NaN;NaN
0;3;0.61;1003.6;328.75;382.25
0;3;0.41;1007.1;342.5;395.75
0;4;0.48;1009.1;NaN;NaN
1;4;0.52;1007.5;NaN;NaN
1;4;0.54;1001.0;NaN;NaN
0;4;0.45;998.7;NaN;NaN
0;4;0.61;1009.6;NaN;NaN
0;4;0.43;1012.6;NaN;NaN
0;4;0.47;1008.6;NaN;NaN
0;4;0.59;1002.9;NaN;NaN
1;4;0.4;998.9;NaN;NaN
1;4;0.32;1005.6;NaN;NaN
0;4;0.38;1006.9;NaN;NaN
0;4;0.28;997.4;NaN;NaN
0;4;0.4;1000.6;NaN;NaN
0;4;0.26;998.7;NaN;NaN
0;4;0.49;1001.3;NaN;NaN
1;4;0.69;1005.9;NaN;NaN
1;4;0.42;1008.6;154.0;156.0
0;4;0.38;1008.1;324.75;390.5
0;4;0.35;1003.6;329.25;374.75
0;4;0.44;1004.3;339.75;389.5
0;4;0.46;1003.5;319.5;365.0
0;4;0.32;1000.4;281.25;340.25
1;4;0.34;999.6;153.25;155.25
1;4;0.25;999.7;137.75;140.25
1;4;0.65;1001.6;146.0;148.75
0;4;0.82;999.6;346.5;410.25
0;4;0.6;998.9;310.0;374.75
0;4;0.64;998.2;323.75;425.25
0;4;0.82;996.8;333.0;390.75
1;4;0.87;994.2;160.5;176.5
1;5;0.77;989.5;145.0;145.25
0;5;0.56;995.1;288.5;361.5
0;5;0.53;987.6;318.0;379.25
0;5;0.47;1002.3;NaN;379.0
0;5;0.28;1008.9;289.981818182;329.769633508
0;5;0.3;1013.0;301.408759124;349.080586081
1;5;0.43;1007.0;158.531120332;165.864197531
1;5;0.27;1002.2;146.315352697;150.468619247
0;5;0.46;1010.5;294.25;355.75
0;5;0.39;1011.9;279.0;336.75
0;5;0.37;1005.7;324.5;387.5
0;5;0.42;1001.4;292.0;348.75
0;5;0.54;1004.9;NaN;NaN
1;5;0.49;1002.0;NaN;228.0
1;5;0.83;998.8;186.276422764;196.863453815
0;5;0.44;1005.1;354.928286853;378.895652174
0;5;0.52;1007.5;332.877729258;378.81981982
0;5;0.65;1006.6;333.521367521;399.546255507
0;5;0.53;1004.8;341.756521739;386.143478261
0;5;0.47;1004.3;314.959459459;383.214953271
1;5;0.44;1004.8;134.071748879;184.208888889
1;5;0.63;1004.5;146.970588235;150.583333333
0;5;0.55;1007.1;328.296460177;377.138528139
0;5;0.62;1006.6;372.727678571;440.674107143
0;5;0.38;1007.9;349.827272727;403.392307692
0;5;0.37;1006.0;339.692982456;391.995670996
0;5;0.52;998.0;348.612765957;471.256410256
1;5;0.83;1000.4;170.724576271;234.572052402
1;5;0.53;1004.6;145.811965812;195.862222222
0;5;0.38;1006.0;387.084745763;422.472340426
0;5;0.51;1000.4;351.987068966;382.594827586
